"X","MP_Euro","Year_Birth","Comm_MP_Euro","Comm_MP_UL","Manag_Fees","Profit_Sharing","Cost_Asset_manag","Cost_retro","MP_UL","Cluster_KMEAN_6","Cluster_HAC_Ward_6","Cluster_HAC_Min_6","Cluster_KMEAN_20","Cluster_HAC_Ward_20","Cluster_HAC_Min_20","Cluster_KMEAN_40","Cluster_HAC_Ward_40","Cluster_HAC_Min_40","Cluster_KMEAN_250","Cluster_HAC_Ward_250","Cluster_HAC_Min_250"
146,0,1949,0.05,0.175,0.553666667,99.9997251,0.403103896,0.200570288,68077,1,2,1,11,8,1,17,8,1,151,18,12
147,0,1949,0.05,0.175,0.555378667,99.9997251,0.403103896,0.200570288,31986,1,2,1,11,8,1,17,8,1,151,18,12
148,0,1949,0.05,0.175,0.535666667,99.9997251,0.264228271,0.146497396,43860,1,2,1,11,8,1,17,8,1,151,18,12
149,0,1949,0.05,0.3,0.707332675,99.9997251,0.403103896,0.200570288,35901,1,2,1,5,5,1,28,5,1,236,19,13
150,0,1949,0.05,0.3,0.561666667,99.9997251,0.403103896,0.200570288,10687,1,2,1,5,5,1,28,5,1,236,19,13
151,0,1949,0.066666667,0.337930723,0.56793995,99.9997251,0.403103896,0.200570288,20055,1,2,1,1,5,1,28,5,1,191,20,17
152,0,1949,0.05,0.3,0.588786667,99.9997251,0.278221147,0.155592765,2710,1,2,1,5,5,1,28,5,1,236,19,13
153,0,1949,0.05,0.429576423,0.554931897,99.9997251,0.398234893,0.250860726,1805,1,1,1,14,7,1,10,7,1,161,21,18
154,0,1949,0.05,0.475408,0.555378667,99.9997251,0.278221147,0.155592765,5098,1,1,1,14,7,1,10,7,1,214,21,15
155,0,1950,0.05,0.175,0.553666667,99.9997251,0.403103896,0.200570288,112806,1,2,1,11,8,1,17,10,1,164,22,12
156,0,1950,0.05,0.175,0.553666667,99.9997251,0.403103896,0.200570288,42075,1,2,1,11,8,1,17,10,1,164,22,12
157,0,1950,0.05,0.175,0.961666667,99.9997251,0.403103896,0.200570288,15762,1,2,1,11,8,1,17,10,1,164,22,12
158,0,1950,0.05,0.175,0.553666667,99.9997251,0.403103896,0.200570288,1872,1,2,1,11,8,1,17,10,1,164,22,12
159,0,1950,0.05,0.175,0.508570667,99.9997251,0.403103896,0.200570288,3889,1,2,1,11,8,1,17,10,1,164,22,12
